index,event_id,minute,second,team_id,player_id,x,y,end_x,end_y,type_display_name,outcome_type_display_name,period_display_name,player_name,Position
1289,804,74,0,Manchester City,303139,55.9,31,,,BallTouch,Successful,SecondHalf,Hernandez Rodri,DM
1290,592,74,0,Real Madrid,14296,35.9,69.6,,,BallTouch,Successful,SecondHalf,Karim Benzema,FWD
1291,793,74,2,Manchester City,303139,54,36.4,52.2,69,Pass,Successful,SecondHalf,Hernandez Rodri,DM
1292,794,74,9,Manchester City,297390,66.1,52.5,60.9,59.6,Pass,Successful,SecondHalf,Manuel Akanji,LB
1293,795,74,11,Manchester City,303139,61.1,62.6,65.8,86.9,Pass,Successful,SecondHalf,Hernandez Rodri,DM
1294,796,74,14,Manchester City,77464,64.8,86.6,58.7,78.2,Pass,Successful,SecondHalf,Ilkay Gundogan,AM
1295,797,74,18,Manchester City,303139,57.1,74.3,46,57.5,Pass,Successful,SecondHalf,Hernandez Rodri,DM
1296,798,74,21,Manchester City,313171,46,57.6,45.5,73.2,Pass,Successful,SecondHalf,Ruben Dias,CB
1297,799,74,23,Manchester City,297390,45.5,74.6,54.1,72.8,Pass,Successful,SecondHalf,Manuel Akanji,LB
1298,800,74,24,Manchester City,303139,54.1,72.8,56.8,94.8,Pass,Successful,SecondHalf,Hernandez Rodri,DM
1299,801,74,29,Manchester City,77464,64.8,92.4,71.4,97.7,Pass,Successful,SecondHalf,Ilkay Gundogan,AM
1300,803,74,32,Manchester City,113069,74.1,89.6,,,Foul,Successful,SecondHalf,Jack Grealish,LM
1301,590,74,32,Real Madrid,369109,25.9,10.4,,,Foul,Unsuccessful,SecondHalf,Eduardo Camavinga,LB
1302,591,74,39,Real Madrid,369109,0,0,,,Card,Successful,SecondHalf,Eduardo Camavinga,LB
1303,809,77,17,Manchester City,313171,22.2,60.8,24.3,39.4,Pass,Successful,SecondHalf,Ruben Dias,CB
1304,805,75,23,Manchester City,73084,76.4,88.5,90.6,55.8,Pass,Successful,SecondHalf,Kevin De-Bruyne,AM
1305,966,75,26,Manchester City,297390,92,54.2,,,Goal,Successful,SecondHalf,Manuel Akanji,LB
1306,598,76,52,Real Madrid,14296,50.1,49.9,39.7,29.7,Pass,Successful,SecondHalf,Karim Benzema,FWD
1307,599,76,53,Real Madrid,106883,36.2,28.2,23.7,36.7,Pass,Successful,SecondHalf,Dani Carvajal,RB
1308,600,76,56,Real Madrid,337879,22,36.8,4,56.8,Pass,Successful,SecondHalf,Eder Militao,CB
1309,607,76,59,Real Madrid,73798,9.4,66.1,62.4,66.3,Pass,Unsuccessful,SecondHalf,Thibaut Courtois,GK
1310,822,77,2,Manchester City,101374,35.7,42.4,44.4,40.6,Pass,Successful,SecondHalf,John Stones,DM
1311,823,77,3,Manchester City,303139,43.7,42.1,,,BallRecovery,Successful,SecondHalf,Hernandez Rodri,DM
1312,847,77,4,Manchester City,303139,41,41,29.8,16.3,Pass,Successful,SecondHalf,Hernandez Rodri,DM
1313,848,77,9,Manchester City,69778,30.7,14.6,18.2,32,Pass,Successful,SecondHalf,Kyle Walker,RB
1314,808,77,11,Manchester City,101374,16,32.5,18.6,65.9,Pass,Successful,SecondHalf,John Stones,DM
1315,810,77,19,Manchester City,101374,23.1,47.8,18.5,66.8,Pass,Successful,SecondHalf,John Stones,DM
1316,811,77,21,Manchester City,313171,14.7,69.3,20.9,84.3,Pass,Successful,SecondHalf,Ruben Dias,CB
1317,812,77,22,Manchester City,297390,21,84.5,37.3,80.3,Pass,Successful,SecondHalf,Manuel Akanji,LB
1318,813,77,24,Manchester City,113069,40.9,81.4,33.3,81.6,Pass,Successful,SecondHalf,Jack Grealish,LM
1319,701,77,26,Real Madrid,369109,62.4,13,,,Challenge,Unsuccessful,SecondHalf,Eduardo Camavinga,LB
1320,952,77,26,Manchester City,77464,37.6,87,,,TakeOn,Successful,SecondHalf,Ilkay Gundogan,AM
1321,814,77,27,Manchester City,77464,41.6,93,,,Foul,Successful,SecondHalf,Ilkay Gundogan,AM
1322,594,77,27,Real Madrid,337879,58.4,7,,,Foul,Unsuccessful,SecondHalf,Eder Militao,CB
1323,963,77,47,Manchester City,297390,42.1,89.6,42,73.7,Pass,Successful,SecondHalf,Manuel Akanji,LB
1324,815,77,49,Manchester City,77464,42.3,73.2,34,56.1,Pass,Successful,SecondHalf,Ilkay Gundogan,AM
1325,964,77,52,Manchester City,101374,36.2,62.4,44.5,66.5,Pass,Successful,SecondHalf,John Stones,DM
1326,816,77,54,Manchester City,303139,41.6,64.7,32.3,29.9,Pass,Successful,SecondHalf,Hernandez Rodri,DM
1327,817,78,0,Manchester City,69778,44,23,55.7,3.8,Pass,Successful,SecondHalf,Kyle Walker,RB
1328,820,78,49,Manchester City,77464,0,0,,,SubstitutionOff,Successful,SecondHalf,Ilkay Gundogan,AM
1329,821,78,49,Manchester City,104749,0,0,,,SubstitutionOn,Successful,SecondHalf,Riyad Mahrez,FWD
1330,601,78,52,Real Madrid,369109,0,0,,,SubstitutionOff,Successful,SecondHalf,Eduardo Camavinga,LB
1331,602,78,52,Real Madrid,353423,0,0,,,SubstitutionOn,Successful,SecondHalf,Aurelien Tchouameni,DM
1332,603,78,55,Real Madrid,347862,0,0,,,SubstitutionOff,Successful,SecondHalf,Rodrygo,FWD
1333,604,78,55,Real Madrid,144890,0,0,,,SubstitutionOn,Successful,SecondHalf,Dani Ceballos,AM
1334,605,79,26,Real Madrid,106883,0,0,,,SubstitutionOff,Successful,SecondHalf,Dani Carvajal,RB
1335,606,79,26,Real Madrid,144511,0,0,,,SubstitutionOn,Successful,SecondHalf,Lucas Vazquez,RB
1336,824,79,45,Manchester City,73084,74,0,73.3,8,Pass,Successful,SecondHalf,Kevin De-Bruyne,AM
1337,825,79,46,Manchester City,101374,73.3,8,73.3,1.7,Pass,Successful,SecondHalf,John Stones,DM
1338,826,79,48,Manchester City,73084,73,1.7,86.1,14.5,Pass,Unsuccessful,SecondHalf,Kevin De-Bruyne,AM
1339,608,79,49,Real Madrid,39722,17.3,87,32.5,92,Pass,Unsuccessful,SecondHalf,David Alaba,CB
1340,827,79,51,Manchester City,73084,67,10.4,75.7,0,Pass,Unsuccessful,SecondHalf,Kevin De-Bruyne,AM
1341,610,80,8,Real Madrid,39722,27.7,100,31.2,92.8,Pass,Successful,SecondHalf,David Alaba,CB
1342,830,80,10,Manchester City,73084,71.5,13.8,,,Tackle,Unsuccessful,SecondHalf,Kevin De-Bruyne,AM
1343,612,80,12,Real Madrid,353423,30.3,87,32.2,96.1,Pass,Successful,SecondHalf,Aurelien Tchouameni,DM
1344,613,80,13,Real Madrid,39722,32.2,96.1,36.7,84.5,Pass,Successful,SecondHalf,David Alaba,CB
1345,614,80,14,Real Madrid,144890,36.7,84.5,32.8,79.9,Pass,Unsuccessful,SecondHalf,Dani Ceballos,AM
1346,831,80,15,Manchester City,136741,60.4,27.2,,,BallRecovery,Successful,SecondHalf,Bernardo Silva,RM
1347,832,80,16,Manchester City,136741,60.4,26.2,68.4,26.2,Pass,Successful,SecondHalf,Bernardo Silva,RM
1348,833,80,18,Manchester City,73084,69.3,31.1,77.6,38.9,Pass,Unsuccessful,SecondHalf,Kevin De-Bruyne,AM
1349,615,80,18,Real Madrid,104010,24.4,58.8,,,BallRecovery,Successful,SecondHalf,Antonio Rudiger,CB
1350,616,80,20,Real Madrid,104010,24,54.4,35.2,43.1,Pass,Successful,SecondHalf,Antonio Rudiger,CB
1351,617,80,21,Real Madrid,137467,31.4,49,,,BallTouch,Unsuccessful,SecondHalf,Marco Asensio,FWD
1352,834,80,23,Manchester City,303139,66.6,43.9,65.2,51,Pass,Successful,SecondHalf,Hernandez Rodri,DM
1353,835,80,23,Manchester City,136741,65.2,51,,,BallRecovery,Successful,SecondHalf,Bernardo Silva,RM
1354,836,80,24,Manchester City,136741,65.2,51,65.9,65.1,Pass,Successful,SecondHalf,Bernardo Silva,RM
1355,837,80,32,Manchester City,113069,85.9,75,86.7,91.7,Pass,Successful,SecondHalf,Jack Grealish,LM
1356,838,80,35,Manchester City,136741,77.1,88.1,66.6,91.5,Pass,Successful,SecondHalf,Bernardo Silva,RM
1357,839,80,38,Manchester City,297390,65.6,90.6,59.4,54.5,Pass,Successful,SecondHalf,Manuel Akanji,LB
1358,840,80,44,Manchester City,101374,65,22.9,61.3,17.6,Pass,Successful,SecondHalf,John Stones,DM
1359,841,80,46,Manchester City,104749,60.5,17.8,42.4,17.8,Pass,Successful,SecondHalf,Riyad Mahrez,FWD
1360,842,80,49,Manchester City,69778,51,16.7,86.3,68.6,Pass,Unsuccessful,SecondHalf,Kyle Walker,RB
1361,619,80,53,Real Madrid,144511,12.8,27.8,,,BallRecovery,Successful,SecondHalf,Lucas Vazquez,RB
1362,620,80,54,Real Madrid,144511,10.3,28.4,3.8,42.6,Pass,Successful,SecondHalf,Lucas Vazquez,RB
1363,621,80,55,Real Madrid,73798,3.8,42.6,,,KeeperPickup,Successful,SecondHalf,Thibaut Courtois,GK
1364,622,81,1,Real Madrid,73798,9.5,45.4,11.9,31.8,Pass,Successful,SecondHalf,Thibaut Courtois,GK
1365,623,81,4,Real Madrid,337879,13.6,29.5,24.5,26.7,Pass,Successful,SecondHalf,Eder Militao,CB
1366,624,81,5,Real Madrid,353423,24.5,26.7,13.4,29,Pass,Successful,SecondHalf,Aurelien Tchouameni,DM
1367,625,81,7,Real Madrid,337879,13,29.7,6.2,53.2,Pass,Successful,SecondHalf,Eder Militao,CB
1368,626,81,10,Real Madrid,73798,6.7,53.4,18.1,48.8,Pass,Successful,SecondHalf,Thibaut Courtois,GK
1369,627,81,13,Real Madrid,353423,17.7,53.2,2.2,66.1,Pass,Successful,SecondHalf,Aurelien Tchouameni,DM
1370,628,81,17,Real Madrid,73798,3,71.1,59.7,83,Pass,Unsuccessful,SecondHalf,Thibaut Courtois,GK
1371,843,81,20,Manchester City,69778,37.7,20.2,51.3,29.8,Pass,Successful,SecondHalf,Kyle Walker,RB
1372,844,81,21,Manchester City,303139,51.3,29.8,,,BallRecovery,Successful,SecondHalf,Hernandez Rodri,DM
1373,845,81,22,Manchester City,303139,45.8,36.1,52.6,54.3,Pass,Successful,SecondHalf,Hernandez Rodri,DM
1374,846,81,23,Manchester City,136741,52.6,54.3,,,BallTouch,Unsuccessful,SecondHalf,Bernardo Silva,RM
1375,629,81,25,Real Madrid,144511,39.6,30.1,,,BallRecovery,Successful,SecondHalf,Lucas Vazquez,RB
1376,630,81,26,Real Madrid,144511,40.3,29,48.9,39.2,Pass,Successful,SecondHalf,Lucas Vazquez,RB
1377,631,81,26,Real Madrid,144890,48.9,39.2,41.7,31.7,Pass,Successful,SecondHalf,Dani Ceballos,AM
1378,632,81,28,Real Madrid,137467,44.8,27,45.4,15.3,Pass,Successful,SecondHalf,Marco Asensio,FWD
1379,633,81,29,Real Madrid,144511,45.4,15.3,42.1,26.2,Pass,Successful,SecondHalf,Lucas Vazquez,RB
1380,634,81,34,Real Madrid,144890,57.5,20.9,65,7.5,Pass,Successful,SecondHalf,Dani Ceballos,AM
1381,635,81,36,Real Madrid,144511,66.8,6.3,63.6,9.4,Pass,Successful,SecondHalf,Lucas Vazquez,RB
1382,636,81,39,Real Madrid,137467,65.3,15.5,57.7,31.4,Pass,Successful,SecondHalf,Marco Asensio,FWD
1383,854,82,57,Manchester City,73084,40.4,85.5,,,Foul,Unsuccessful,SecondHalf,Kevin De-Bruyne,AM
1384,637,81,41,Real Madrid,353423,56.9,33.2,67.4,32.9,Pass,Successful,SecondHalf,Aurelien Tchouameni,DM
1385,638,81,43,Real Madrid,137467,62.8,35.6,53.5,34.5,Pass,Successful,SecondHalf,Marco Asensio,FWD
1386,639,81,46,Real Madrid,337879,53.6,34.2,59.8,34.8,Pass,Successful,SecondHalf,Eder Militao,CB
1387,640,81,48,Real Madrid,137467,56.6,32.6,46.1,30.9,Pass,Successful,SecondHalf,Marco Asensio,FWD
1388,641,81,50,Real Madrid,337879,46.1,30.9,53.4,13.3,Pass,Successful,SecondHalf,Eder Militao,CB
1389,642,81,51,Real Madrid,353423,53.4,13.3,55.8,22.8,Pass,Successful,SecondHalf,Aurelien Tchouameni,DM
1390,643,81,51,Real Madrid,137467,55.8,22.8,61.9,9.4,Pass,Successful,SecondHalf,Marco Asensio,FWD
1391,644,81,57,Real Madrid,144890,71,28.7,76.3,44.3,Pass,Successful,SecondHalf,Dani Ceballos,AM
1392,645,81,57,Real Madrid,14296,76.3,44.3,88.8,45.6,Pass,Successful,SecondHalf,Karim Benzema,FWD
1393,679,81,59,Real Madrid,337782,91.1,46.1,,,Dispossessed,Successful,SecondHalf,Vinicius Junior,FWD
1394,849,81,59,Manchester City,313171,8.9,53.9,,,Tackle,Unsuccessful,SecondHalf,Ruben Dias,CB
1395,646,82,1,Real Madrid,14296,91.6,40,,,TakeOn,Successful,SecondHalf,Karim Benzema,FWD
